seqnames	start	end	width	strand	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	annotation	geneChr	geneStart	geneEnd	geneSymbol	geneLength	geneStrand	geneId	transcriptId	distanceToTSS
chr12	85106118	85107027	910	*	5.03233053870825e-10	-0.363821122051234	0.004	0.12	8.74110782243083e-05	Promoter (<=1kb)	12	85086814	85106431	Prox2	19618	2	73422	ENSMUST00000110249.2	0
chr6	52721475	52721774	300	*	5.448620466487e-10	-0.617413201493634	0.004	0.12	9.46419926408326e-05	Intron (ENSMUST00000080723.10/52440, intron 2 of 17)	6	52714350	52727299	Tax1bp1	12950	1	52440	ENSMUST00000129660.1	7125
chr8	107054847	107055133	287	*	5.448620466487e-10	-0.59036795219732	0.004	0.12	9.46419926408326e-05	Promoter (<=1kb)	8	107052678	107054257	Cog8	1580	2	97484	ENSMUST00000122903.1	-590
chr2	164493781	164494567	787	*	5.66918252716143e-10	-0.663710966806007	0.004	0.12	9.84731335785412e-05	Promoter (2-3kb)	2	164497520	164508301	Pigt	10782	1	78928	ENSMUST00000103101.10	-2953
chr17	57201605	57202915	1311	*	5.66918252716143e-10	-0.50865949455252	0.004	0.12	9.84731335785412e-05	Downstream (1-2kb)	17	57189492	57194177	Tnfsf14	4686	2	50930	ENSMUST00000005976.7	-7428
chr6	99810861	99811854	994	*	1.56798311525445e-09	-0.778214229134156	0.033	0.28	0.000272357099136583	Distal Intergenic	6	99722105	99726392	Prok2	4288	2	50501	ENSMUST00000203738.1	-84469
chr13	91168573	91170514	1942	*	1.90266437371883e-09	-0.456839619278981	0.01	0.16	0.000330490899050588	Intron (ENSMUST00000022119.5/66795, intron 2 of 7)	13	90936006	91125610	Atg10	189605	2	66795	ENSMUST00000223729.1	-42963
chr13	110062171	110063340	1170	*	2.8306863549561e-09	-0.608196480931697	0.01	0.16	0.00049168738916952	Intron (ENSMUST00000167824.2/67295, intron 4 of 4)	13	109935312	109948348	Pde4d	13037	1	238871	ENSMUST00000155459.1	126859
chr16	23174065	23177089	3025	*	3.75906182269225e-09	-0.34999367344232	0.017	0.2	0.000652945279539822	Promoter (<=1kb)	16	23175280	23204376	NA	29097	1	105246089	ENSMUST00000232204.1	0
chr15	25620447	25626595	6149	*	4.9449071337877e-09	-0.376201012547394	0.046	0.32	0.00085892542423179	Promoter (<=1kb)	15	25622525	25813673	Myo10	191149	1	17909	ENSMUST00000110457.7	0
chr7	139200015	139200555	541	*	1.01145255162502e-08	-0.843678905988334	0.019	0.2	0.00175688296764715	Intron (ENSMUST00000165870.1/57740, intron 1 of 11)	7	139103638	139188517	Stk32c	84880	2	57740	ENSMUST00000016125.11	-11498
chr10	37135530	37142445	6916	*	1.06033010485855e-08	-0.519273061284368	0.187	0.64	0.00184178278883826	Promoter (<=1kb)	10	37133375	37138920	Marcks	5546	2	17118	ENSMUST00000092584.5	0
chr16	95745616	95747386	1771	*	1.13759149556509e-08	-0.493041414715384	0.006	0.12	0.0019759850518816	Distal Intergenic	16	95715854	95719122	Ets2	3269	1	23872	ENSMUST00000233550.1	29762
chr8	82759050	82760110	1061	*	1.17689050146233e-08	-0.498806618877084	0.006	0.12	0.00204424703213505	Distal Intergenic	8	82764372	82767537	Zfp330	3166	2	30932	ENSMUST00000209727.1	7427
chr5	123421572	123422238	667	*	1.21750745735691e-08	-0.59556334268916	0.006	0.12	0.00211479827835438	Intron (ENSMUST00000111596.7/208104, intron 1 of 8)	5	123446039	123457929	Mlxip	11891	1	208104	ENSMUST00000135961.1	-23801
chr10	120552464	120553488	1025	*	1.21750745735691e-08	-0.496940392327225	0.006	0.12	0.00211479827835438	Distal Intergenic	10	120361275	120476469	Hmga2	115195	2	15364	ENSMUST00000159699.1	-75995
chr17	50097429	50098764	1336	*	1.21750745735691e-08	-0.469691941907916	0.006	0.12	0.00211479827835438	Intron (ENSMUST00000044503.13/76438, intron 3 of 9)	17	49993260	50094332	Rftn1	101073	2	76438	ENSMUST00000113195.7	-3097
chr12	69208538	69208874	337	*	1.25948515826435e-08	-0.529910985973806	0.006	0.12	0.0021877131250536	Intron (ENSMUST00000221411.1/18974, intron 13 of 18)	12	69201773	69204457	Pole2	2685	2	18974	ENSMUST00000221986.1	-4081
chr12	101985045	101985575	531	*	1.25948515826435e-08	-0.513375963198946	0.006	0.12	0.0021877131250536	Exon (ENSMUST00000047357.9/51786, exon 5 of 15)	12	101975988	102006424	Cpsf2	30437	1	51786	ENSMUST00000047357.9	9057
chr4	56914625	56916778	2154	*	1.30286774034395e-08	-0.254643603397595	0.006	0.12	0.00226306823630003	Exon (ENSMUST00000068792.12/242474, exon 8 of 18)	4	56879876	56923458	Tmem245	43583	2	242474	ENSMUST00000132816.7	6680
chr6	99905178	99905628	451	*	1.30286774034395e-08	-0.493171824392488	0.006	0.12	0.00226306823630003	Distal Intergenic	6	99722105	99726392	Prok2	4288	2	50501	ENSMUST00000203738.1	-178786
chr14	15099600	15100616	1017	*	1.34770072130272e-08	-0.257615282124739	0.006	0.12	0.00234094267589561	Distal Intergenic	14	14930575	15006743	Nek10	76169	1	674895	ENSMUST00000136826.2	169025
chr10	67862088	67862863	776	*	1.39403104196356e-08	-0.508887230070063	0.006	0.12	0.00242141797958028	Distal Intergenic	10	67889953	67899007	Zfp365	9055	2	216049	ENSMUST00000127869.1	36144
chr1	54794386	54795777	1392	*	1.44190710902957e-08	-0.519201715490027	0.006	0.12	0.00250457822931328	Intron (ENSMUST00000179030.7/329154, intron 2 of 27)	1	54762368	54813443	Ankrd44	51076	2	329154	ENSMUST00000178905.1	17666
chr7	116513945	116514946	1002	*	1.49137883907716e-08	-0.517249785810056	0.006	0.12	0.00259051012968863	Intron (ENSMUST00000032895.14/53322, intron 2 of 13)	7	116504415	116540443	Nucb2	36029	1	53322	ENSMUST00000183175.7	9530
chr9	69991996	69993853	1858	*	1.49137883907716e-08	-0.386593920699825	0.006	0.12	0.00259051012968863	Promoter (1-2kb)	9	69995478	70007115	Bnip2	11638	1	12175	ENSMUST00000165389.7	-1625
chr11	83967411	83967760	350	*	1.49137883907716e-08	-0.605926213652726	0.006	0.12	0.00259051012968863	Promoter (2-3kb)	11	83964476	84040928	Synrg	76453	1	217030	ENSMUST00000183714.7	2935
chr11	109587580	109588520	941	*	1.49137883907716e-08	-0.353391507306196	0.006	0.12	0.00259051012968863	Intron (ENSMUST00000103060.9/52639, intron 4 of 12)	11	109573331	109611432	Wipi1	38102	2	52639	ENSMUST00000103060.9	22912
chr4	89177618	89178394	777	*	1.54249770381151e-08	-0.51523224885634	0.006	0.12	0.00267930308654356	Promoter (1-2kb)	4	89176374	89179474	Mtap	3101	1	66902	ENSMUST00000204571.1	1244
chr3	144410828	144413417	2590	*	1.72404512437021e-08	-0.49294358542883	0.039	0.28	0.0029946491405798	Distal Intergenic	3	144453963	144569881	Hs2st1	115919	2	23908	ENSMUST00000160690.1	156464
chr2	59466171	59472655	6485	*	1.94005264663095e-08	-0.325625370871452	0.087	0.44	0.0033698520466715	Distal Intergenic	2	59484653	59505020	Dapl1	20368	1	76747	ENSMUST00000028369.5	-11998
chr2	14295158	14295999	842	*	2.0210616444478e-08	-0.472546835176832	0.012	0.16	0.00351056386578938	Intron (ENSMUST00000028045.3/17533, intron 15 of 29)	2	14328561	14331927	Mrc1	3367	1	17533	ENSMUST00000146168.2	-32562
chr1	193270894	193275205	4312	*	2.33071099878907e-08	-0.506956436732235	0.039	0.28	0.00404842169778662	Promoter (<=1kb)	1	193272161	193273217	G0s2	1057	2	14373	ENSMUST00000009777.3	0
chr5	28381894	28383030	1137	*	2.91411331739721e-08	-0.482146464816445	0.029	0.24	0.00506178569118579	Intron (ENSMUST00000114884.7/381626, intron 9 of 17)	5	28394055	28413677	Rbm33	19623	1	381626	ENSMUST00000144967.7	-11025
chr9	32634927	32636981	2055	*	4.96718894490238e-08	-0.527099364141089	0.02	0.2	0.00862795752540599	Promoter (<=1kb)	9	32636221	32729830	Ets1	93610	1	23871	ENSMUST00000183879.1	0
chr7	80409982	80410984	1003	*	6.49718375234335e-08	-0.649260315954875	0.013	0.16	0.0112855432059829	Distal Intergenic	7	80398594	80405436	Furin	6843	2	18550	ENSMUST00000135306.2	-4546
chr2	59715883	59717075	1193	*	7.49111344143113e-08	-0.456630290804152	0.013	0.16	0.0130119891366315	Intron (ENSMUST00000112568.7/66860, intron 3 of 26)	2	59706844	59724847	Tanc1	18004	1	66860	ENSMUST00000127013.1	9039
chr14	60137784	60138773	990	*	7.49111344143113e-08	-0.475208483344856	0.013	0.16	0.0130119891366315	Intron (ENSMUST00000131670.2/50769, intron 1 of 6)	14	60027513	60086882	Atp8a2	59370	2	50769	ENSMUST00000145071.7	-50902
chr3	68966496	68969989	3494	*	7.84109556349355e-08	-0.391359671050166	0.042	0.28	0.0136199045828327	Exon (ENSMUST00000107812.7/68259, exon 6 of 20)	3	68940128	68973745	Ift80	33618	2	68259	ENSMUST00000176754.1	3756
chr11	33943839	33944506	668	*	8.43050066132376e-08	-0.455392721726111	0.013	0.16	0.0146436953437127	Intron (ENSMUST00000238903.1/70357, intron 1 of 7)	11	33963013	33973641	Kcnmb1	10629	1	16533	ENSMUST00000020362.2	-18507
chr10	54009008	54010623	1616	*	8.63160949873128e-08	-0.452704356042867	0.013	0.16	0.0149930193832012	Intron (ENSMUST00000003843.15/17155, intron 5 of 12)	10	53918719	53977115	Man1a	58397	2	17155	ENSMUST00000219234.1	-31893
chr9	71214927	71217563	2637	*	9.04785517851268e-08	-0.376585638601469	0.013	0.16	0.0157160339665247	Promoter (<=1kb)	9	71215789	71296243	Aldh1a2	80455	1	19378	ENSMUST00000034723.5	0
chr3	131198572	131200748	2177	*	1.30647724615739e-07	-0.269735722732568	0.03	0.24	0.0226933791180292	Exon (ENSMUST00000029611.13/16842, exon 9 of 12)	3	131245101	131272024	Hadh	26924	2	15107	ENSMUST00000152427.1	71276
chr18	75409528	75412705	3178	*	1.34080318747866e-07	-0.400061593943573	0.044	0.28	0.0232896172861856	Distal Intergenic	18	75374914	75394001	Smad7	19088	1	17131	ENSMUST00000172718.1	34614
chr9	61421465	61422287	823	*	1.37865007068276e-07	-0.546565648350441	0.007	0.12	0.0239470138627525	Distal Intergenic	9	61409937	61418419	Tle3	8483	1	21887	ENSMUST00000162281.1	11528
chr2	68485081	68485468	388	*	1.41988746713047e-07	-0.560389007819778	0.007	0.12	0.0246633033153095	Distal Intergenic	2	68210445	68472268	Stk39	261824	2	53416	ENSMUST00000102715.3	-12813
chr3	85629779	85630603	825	*	1.41988746713047e-07	-0.655170445399871	0.007	0.12	0.0246633033153095	Intron (ENSMUST00000107672.7/229487, intron 9 of 11)	3	85660061	85673988	Fam160a1	13928	2	229488	ENSMUST00000126445.6	43385
chr3	69674141	69674663	523	*	1.46231675277795e-07	-0.533216695272253	0.007	0.12	0.0254002957640777	Distal Intergenic	3	69721985	69724461	Nmd3	2477	1	97112	ENSMUST00000149680.7	-47322
chr9	31246408	31248238	1831	*	1.46231675277795e-07	-0.523483683689942	0.007	0.12	0.0254002957640777	Distal Intergenic	9	31280538	31330618	Prdm10	50081	1	382066	ENSMUST00000117389.7	-32300
chr12	8443141	8444454	1314	*	1.46231675277795e-07	-0.675326098396189	0.007	0.12	0.0254002957640777	Distal Intergenic	12	8497661	8500009	Rhob	2349	2	11852	ENSMUST00000067384.5	55555
chr3	79150582	79150988	407	*	1.50597109722923e-07	-0.560113838310967	0.007	0.12	0.026158567361762	Intron (ENSMUST00000195708.1/76089, intron 7 of 29)	3	79062528	79145875	Rapgef2	83348	2	76089	ENSMUST00000118340.6	-4707
chrX	142464096	142465279	1184	*	1.50597109722923e-07	-0.416358101974262	0.007	0.12	0.026158567361762	Distal Intergenic	20	142317993	142390535	Acsl4	72543	2	50790	ENSMUST00000033634.4	-73561
chr3	109308691	109312533	3843	*	1.550884554934e-07	-0.456671943429195	0.007	0.12	0.0269387096307482	Distal Intergenic	3	109340653	109685698	Vav3	345046	1	57257	ENSMUST00000046864.13	-28120
chr4	43897060	43899679	2620	*	1.550884554934e-07	-0.485472457752286	0.007	0.12	0.0269387096307482	Exon (ENSMUST00000128463.7/53614, exon 5 of 22)	4	43875530	43944806	Reck	69277	1	53614	ENSMUST00000030198.6	21530
chr10	78385425	78387089	1665	*	1.550884554934e-07	-0.315668428186932	0.007	0.12	0.0269387096307482	Distal Intergenic	10	78402125	78403616	Rrp1	1492	2	18114	ENSMUST00000219406.1	16527
chr11	86432242	86432851	610	*	1.550884554934e-07	-0.46137489553908	0.007	0.12	0.0269387096307482	Distal Intergenic	11	86484657	86499025	Rnft1	14369	1	76892	ENSMUST00000020827.6	-51806
chr5	107014721	107016471	1751	*	1.58669903953219e-07	-0.317301850999992	0.022	0.2	0.0275608036467702	Distal Intergenic	5	106975238	106979323	Cdc7	4086	1	12545	ENSMUST00000123546.1	39483
chr1	73986299	73988419	2121	*	1.59709208768443e-07	-0.406440474247575	0.007	0.12	0.0277413298538698	Promoter (<=1kb)	1	73980640	73987063	Tns1	6424	2	21961	ENSMUST00000188942.1	0
chr7	132355378	132357509	2132	*	1.59709208768443e-07	-0.245073621762394	0.007	0.12	0.0277413298538698	Intron (ENSMUST00000124096.7/14183, intron 2 of 6)	7	132235780	132317228	Chst15	81449	2	77590	ENSMUST00000080215.5	-38150
chr9	66805636	66807132	1497	*	1.59709208768443e-07	-0.443580982432061	0.007	0.12	0.0277413298538698	Exon (ENSMUST00000112182.2/ENSMUST00000112182.2, exon 1 of 1)	9	66775202	66795490	Aph1b	20289	2	208117	ENSMUST00000034934.14	-10146
chr17	10425280	10425718	439	*	1.59709208768443e-07	-0.488885078878661	0.007	0.12	0.0277413298538698	Intron (ENSMUST00000041463.6/69310, intron 4 of 4)	17	10456216	10474123	NA	17908	1	319750	ENSMUST00000160763.1	-30498
chr10	60476350	60477659	1310	*	1.69353390098272e-07	-0.453294829959377	0.007	0.12	0.0294165145066797	Intron (ENSMUST00000073242.10/22295, intron 10 of 66)	10	60376772	60406453	Cdh23	29682	2	22295	ENSMUST00000144462.7	-69897
chr18	25320974	25321504	531	*	1.74384285194488e-07	-0.492651632605868	0.007	0.12	0.0302903759539974	Intron (ENSMUST00000159605.7/225289, intron 5 of 8)	18	25233915	25464092	AW554918	230178	1	225289	ENSMUST00000100131.4	87059
chr3	52881086	52882830	1745	*	1.88288440694152e-07	-0.554296692016449	0.023	0.2	0.0327055138601336	Distal Intergenic	3	52906756	52927666	NA	20911	2	622124	ENSMUST00000194274.1	44836
chr6	72188792	72191233	2442	*	2.25702088436501e-07	-0.460965208861567	0.023	0.2	0.0392042270593317	Distal Intergenic	6	72206177	72234537	Atoh8	28361	2	71093	ENSMUST00000206425.1	43304
chr16	84992272	84996153	3882	*	2.36020225466376e-07	-0.371246060579463	0.015	0.16	0.0409964771432841	Exon (ENSMUST00000227753.1/11820, exon 4 of 4)	16	84955148	84977983	App	22836	2	11820	ENSMUST00000228375.1	-14289
chr2	150643280	150645741	2462	*	2.69225143647538e-07	-0.568202736391962	0.015	0.16	0.0467641382264336	Intron (ENSMUST00000028944.3/68738, intron 2 of 13)	2	150628502	150638115	Acss1	9614	2	68738	ENSMUST00000154328.7	-5165
