seqnames	start	end	width	strand	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	annotation	geneChr	geneStart	geneEnd	geneSymbol	geneLength	geneStrand	geneId	transcriptId	distanceToTSS
chr18	21298793	21301154	2362	*	9.23309437018979e-12	0.606272870885538	0.314	0.066	1.6037792590076e-06	Promoter (<=1kb)	18	21127201	21300138	Garem1	172938	2	381126	ENSMUST00000049260.6	0
chr13	28957532	28960367	2836	*	2.19662595577184e-11	-0.300166166240368	0.127	0.384	3.81551731891612e-06	Distal Intergenic	13	28948919	28953713	Sox4	4795	2	20677	ENSMUST00000067230.5	-3819
chr7	130644803	130650877	6075	*	2.84799499067398e-11	-0.284968718410146	0.308	0.611	4.94693881885079e-06	Promoter (<=1kb)	7	130645481	130716771	Tacc2	71291	1	57752	ENSMUST00000208882.1	0
chr7	113259894	113265374	5481	*	1.92717936946253e-10	-0.368733122397613	0.121	0.37	3.34749129296272e-05	Intron (ENSMUST00000047321.8/11865, intron 2 of 19)	7	113234623	113313840	Arntl	79218	1	11865	ENSMUST00000211770.1	25271
chr11	30024033	30026805	2773	*	2.14366690068695e-10	0.482490205182804	0.352	0.118	3.72352796982422e-05	Promoter (<=1kb)	11	29743048	30026033	Eml6	282986	2	237711	ENSMUST00000058902.5	0
chr13	28511671	28514613	2943	*	2.74852978489188e-10	-0.293586029263041	0.063	0.261	4.77416875105935e-05	Promoter (2-3kb)	13	28460941	28516781	NA	55841	2	72518	ENSMUST00000154298.1	2168
chr10	21254457	21257716	3260	*	3.20967857455463e-10	-0.319058777490699	0.092	0.308	5.57517958721565e-05	Distal Intergenic	10	21295979	21368898	Hbs1l	72920	1	56422	ENSMUST00000020153.9	-38263
chr18	32556636	32561704	5069	*	3.35436484215754e-10	-0.237128456375086	0.171	0.431	5.82649818717922e-05	Promoter (<=1kb)	18	32528322	32560034	Gypc	31713	2	71683	ENSMUST00000174459.1	0
chr13	28945221	28954613	9393	*	4.28882694256635e-10	-0.248390728289829	0.206	0.474	7.44964951096832e-05	Promoter (<=1kb)	13	28948919	28953713	Sox4	4795	2	20677	ENSMUST00000067230.5	0
chr7	110220974	110226018	5045	*	5.63925467122506e-10	-0.271070184324053	0.143	0.393	9.79532897137121e-05	Promoter (<=1kb)	7	110221711	110283506	Swap70	61796	1	20947	ENSMUST00000033325.8	0
chr2	101754265	101757278	3014	*	5.79680156687448e-10	-0.346087012427073	0.092	0.299	0.000100689863536453	Intron (ENSMUST00000171088.7/72446, intron 4 of 8)	2	101717250	101797650	Prr5l	80401	2	72446	ENSMUST00000141814.1	40372
chr4	136105980	136107668	1689	*	6.79928373325615e-10	-0.36363880163762	0.022	0.175	0.000118102878518286	Distal Intergenic	4	136143497	136145392	Id3	1896	1	15903	ENSMUST00000008016.2	-35829
chr9	70206774	70212927	6154	*	7.15420319705366e-10	-0.36142829391749	0.149	0.393	0.000124267794112502	Promoter (<=1kb)	9	70207350	70302364	Myo1e	95015	1	71602	ENSMUST00000213863.1	0
chr10	43737367	43743490	6124	*	8.61593378597087e-10	-0.222732012169039	0.057	0.246	0.000149657908268935	Promoter (2-3kb)	10	43745809	43757569	NA	11761	1	69443	ENSMUST00000213330.1	-2319
chr18	47339186	47340053	868	*	8.6214379693996e-10	0.574564831133175	0.203	0.019	0.000149753515384674	Intron (ENSMUST00000019791.13/20358, intron 1 of 18)	18	47248383	47333348	Sema6a	84966	2	20358	ENSMUST00000156422.7	-5838
chr13	28756513	28759638	3126	*	8.62972664063679e-10	-0.317827958094663	0.057	0.242	0.000149897488775197	Intron (ENSMUST00000148885.7/72518, intron 3 of 7)	13	28710781	28710873	NA	93	2	102466635	ENSMUST00000184136.1	-45640
chr1	170974806	170977611	2806	*	1.1121820832275e-09	0.64298809021371	0.26	0.057	0.000193184915674534	Promoter (<=1kb)	1	170958617	170976127	Fcgr2b	17511	2	14130	ENSMUST00000027966.13	0
chr8	122676120	122680775	4656	*	1.1256157697369e-09	-0.30193432169867	0.133	0.37	0.000195518333587531	Promoter (<=1kb)	8	122629463	122678072	Cbfa2t3	48610	2	12398	ENSMUST00000006525.13	0
chr10	21155430	21162759	7330	*	1.12581131738821e-09	-0.247427884099963	0.432	0.692	0.000195552300019014	Promoter (<=1kb)	10	21124935	21160905	Myb	35971	2	17863	ENSMUST00000188495.7	0
chr7	125186158	125187387	1230	*	1.24642776927867e-09	-0.485562763153821	0.076	0.27	0.000216503257095936	Distal Intergenic	7	125284025	125338272	NA	54248	2	71208	ENSMUST00000205794.1	150885
chr13	48549409	48551023	1615	*	1.39159933881002e-09	0.594539881358805	0.232	0.038	0.000241719413551961	Distal Intergenic	13	48538179	48538272	NA	94	2	387244	ENSMUST00000083487.3	-11137
chr4	123236108	123238308	2201	*	1.53286160740406e-09	-0.512614783486226	0.038	0.204	0.000266256528344478	Promoter (1-2kb)	4	123239757	123245989	Heyl	6233	1	56198	ENSMUST00000127172.1	-1449
chr4	136142002	136150326	8325	*	1.63750318237891e-09	-0.222045940399021	0.524	0.773	0.000284432665276035	Promoter (<=1kb)	4	136143497	136145392	Id3	1896	1	15903	ENSMUST00000008016.2	0
chr17	31787808	31791543	3736	*	2.05581899817405e-09	-0.341385487926289	0.127	0.346	0.000357093704163834	Exon (ENSMUST00000234022.1/ENSMUST00000234022.1, exon 1 of 2)	17	31849754	31851575	Sik1	1822	2	17691	ENSMUST00000234867.1	60032
chr12	54186991	54188999	2009	*	2.1647872244099e-09	-0.41836367596248	0.063	0.246	0.000376021376092776	Intron (ENSMUST00000039516.3/112407, intron 1 of 4)	12	54178981	54203860	Egln3	24880	2	112407	ENSMUST00000039516.3	14861
chr8	126205840	126206401	562	*	3.02892199083611e-09	0.644680160343186	0.302	0.09	0.000526120720886241	Intron (ENSMUST00000238518.1/210027, intron 2 of 7)	8	126139382	126395971	Slc35f3	256590	1	210027	ENSMUST00000238386.1	66458
chr1	55404273	55407550	3278	*	3.04631318978524e-09	-0.232289008982194	0.143	0.374	0.000529141554752507	Promoter (<=1kb)	1	55405921	55754285	Plcl1	348365	1	227120	ENSMUST00000042986.9	0
chr1	69652818	69658528	5711	*	3.19457833782447e-09	-0.320119584627287	0.13	0.36	0.000554895062701773	Intron (ENSMUST00000027146.8/22779, intron 3 of 7)	1	69538768	69684157	Ikzf2	145390	2	22779	ENSMUST00000188110.6	25629
chr11	88617934	88621060	3127	*	3.78263120527933e-09	-0.258499575827795	0.181	0.427	0.000657039257725815	Intron (ENSMUST00000107909.7/76626, intron 5 of 13)	11	88365515	88590147	Msi2	224633	2	76626	ENSMUST00000148013.7	-27787
chr3	159839063	159843548	4486	*	4.04202605573987e-09	-0.274624829110107	0.225	0.483	0.00070209588385596	Promoter (<=1kb)	3	159839672	159936023	Wls	96352	1	68151	ENSMUST00000068952.9	0
chr1	69751950	69753447	1498	*	4.13214708309813e-09	-0.371086430205284	0.06	0.242	0.000717749816187062	Distal Intergenic	1	69538582	69687245	Ikzf2	148664	2	22779	ENSMUST00000187184.6	-64705
chr13	83565134	83567905	2772	*	4.99353364653846e-09	-0.308264318550919	0.006	0.123	0.000867371800870083	Intron (ENSMUST00000198199.4/17260, intron 2 of 10)	13	83572348	83635453	Mef2c	63106	1	17260	ENSMUST00000196730.4	-4443
chr14	17658553	17661941	3389	*	5.34584903822379e-09	-0.322293973990354	0.159	0.379	0.000928568632090434	Promoter (<=1kb)	14	17660261	17963125	Thrb	302865	1	21834	ENSMUST00000224470.1	0
chr8	122696816	122703220	6405	*	5.71762496802436e-09	-0.363218975887933	0.27	0.517	0.000993145739320863	Promoter (<=1kb)	8	122625141	122699109	Cbfa2t3	73969	2	12398	ENSMUST00000127984.8	0
chr8	126199870	126200772	903	*	7.84781496693278e-09	0.480585948537797	0.479	0.242	0.00136315761194126	Intron (ENSMUST00000238518.1/210027, intron 2 of 7)	8	126139382	126395971	Slc35f3	256590	1	210027	ENSMUST00000238386.1	60488
chr9	118058942	118059663	722	*	7.97257676789648e-09	0.518055414678492	0.346	0.123	0.00138482861200685	Promoter (<=1kb)	9	118059056	118062260	Azi2	3205	1	27215	ENSMUST00000123690.1	0
chr8	111579476	111585717	6242	*	8.13201892804792e-09	-0.240974490338535	0.108	0.313	0.001412523555783	Intron (ENSMUST00000172856.7/170737, intron 2 of 5)	8	111561840	111606796	Znrf1	44957	1	170737	ENSMUST00000173692.1	17636
chr12	34989819	34992367	2549	*	8.53526755710903e-09	-0.34982956196038	0.092	0.289	0.00148256743940228	Distal Intergenic	12	34984761	34986436	Prps1l1	1676	1	75456	ENSMUST00000134550.2	5058
chr2	172936800	172941351	4552	*	8.92778779661675e-09	-0.288965580324422	0.21	0.46	0.00155074781248453	Promoter (<=1kb)	2	172868012	172940321	Bmp7	72310	2	12162	ENSMUST00000009143.7	0
chr15	93517025	93520503	3479	*	1.03763677681126e-08	-0.260920543294226	0.095	0.289	0.0018023647049534	Promoter (<=1kb)	15	93499114	93519523	Prickle1	20410	2	106042	ENSMUST00000109255.2	0
chr16	90141527	90145718	4192	*	1.05683546669677e-08	-0.199659985192712	0.39	0.687	0.00183571263729762	Promoter (<=1kb)	16	89787111	90143769	Tiam1	356659	2	21844	ENSMUST00000114124.8	0
chr19	37109001	37111053	2053	*	1.14306225358719e-08	0.516517660461824	0.432	0.204	0.00198548770385841	Intron (ENSMUST00000079754.10/208922, intron 4 of 10)	19	37173843	37196541	NA	22699	1	319931	ENSMUST00000180609.1	-62790
chr6	125489112	125495605	6494	*	1.19448687451247e-08	-0.297923675272704	0.121	0.327	0.00207481175615942	Promoter (<=1kb)	6	125460266	125494791	Cd9	34526	2	12527	ENSMUST00000032492.8	0
chr16	3962489	3963635	1147	*	1.20199146851543e-08	0.574344287938008	0.187	0.024	0.00208784716089661	Promoter (<=1kb)	16	3948879	3964207	Nlrc3	15329	2	268857	ENSMUST00000163478.2	572
chr4	24942798	24943448	651	*	1.26915883335714e-08	0.592728095038008	0.187	0.024	0.00220451620195301	Distal Intergenic	4	24966407	25007300	Gpr63	40894	1	81006	ENSMUST00000151006.1	-22959
chr13	112354096	112356520	2425	*	1.62169864321137e-08	-0.387451228393809	0.083	0.27	0.00281687432627172	3' UTR	13	112318454	112339876	Ankrd55	21423	1	77318	ENSMUST00000223871.1	35642
chr4	74796621	74798508	1888	*	1.65859846602691e-08	0.547105094775664	0.187	0.024	0.00288096894950409	Distal Intergenic	4	75277354	75278305	Tmem261	952	2	66928	ENSMUST00000030103.8	479797
chr2	165540405	165541390	986	*	1.77324433520307e-08	0.577713851687168	0.229	0.047	0.00308010767780439	Distal Intergenic	2	165508781	165514777	Slc2a10	5997	1	170441	ENSMUST00000148463.1	31624
chr12	20820357	20820724	368	*	1.9893194384933e-08	0.656097390726285	0.159	0.009	0.00345542797146847	Distal Intergenic	12	20804381	20815779	NA	11399	2	69513	ENSMUST00000189625.1	-4578
chr9	62270533	62271431	899	*	1.9943271334728e-08	-0.395427113674424	0.022	0.156	0.00346412628757091	3' UTR	9	62270729	62282208	Spesp1	11480	2	66712	ENSMUST00000056949.4	10777
chr5	99727668	99729924	2257	*	2.00306013938793e-08	0.436320482312357	0.384	0.171	0.00347929543151544	Promoter (<=1kb)	5	99297244	99729045	NA	431802	2	319818	ENSMUST00000146396.7	0
chr9	11513421	11514501	1081	*	2.31186541787721e-08	-0.382963897300767	0.054	0.213	0.00401568711219853	Distal Intergenic	9	9660969	10904775	Cntn5	1243807	2	244682	ENSMUST00000160216.7	-608646
chr2	72405540	72407830	2291	*	2.41276078957481e-08	-0.293181528108581	0.025	0.161	0.00419094136388355	3' UTR	2	72476159	72486893	Cdca7	10735	1	66953	ENSMUST00000102691.10	-68329
chr13	28416074	28420741	4668	*	2.91590382762683e-08	-0.210633739020223	0.038	0.185	0.00506489578954953	Exon (ENSMUST00000222823.1/ENSMUST00000222823.1, exon 1 of 4)	13	28460778	28480841	NA	20064	2	72518	ENSMUST00000122881.6	60100
chr4	111414067	111417495	3429	*	3.18398488082208e-08	-0.293130620504638	0.098	0.289	0.00553054989813914	Promoter (<=1kb)	4	111415006	111460298	Bend5	45293	1	67621	ENSMUST00000030274.6	0
chr18	63993713	63994309	597	*	3.38331022533234e-08	0.602519636004499	0.289	0.095	0.00587677602830001	Distal Intergenic	18	64167726	64168774	NA	1049	2	73588	ENSMUST00000236604.1	174465
chr9	21246340	21246809	470	*	3.39032667736049e-08	0.593159369322454	0.181	0.024	0.0058889635353084	Promoter (1-2kb)	9	21242912	21248443	S1pr5	5532	2	94226	ENSMUST00000122088.1	1634
chr7	130691736	130693634	1899	*	3.52008671570834e-08	-0.306286562140536	0.057	0.218	0.00611435542431824	Promoter (<=1kb)	7	130692556	130764724	Tacc2	72169	1	57752	ENSMUST00000208743.1	0
chr4	139822837	139825779	2943	*	3.71549310433288e-08	-0.342574388874715	0.013	0.128	0.00645377436729517	Intron (ENSMUST00000030508.13/18509, intron 4 of 8)	4	139740676	139833007	Pax7	92332	2	18509	ENSMUST00000174681.1	7228
chr17	56441940	56445993	4054	*	4.34402642318707e-08	-0.294788439047832	0.051	0.204	0.0075455304568117	Exon (ENSMUST00000225381.1/19280, exon 7 of 7)	17	56427989	56435985	Ptprs	7997	2	19280	ENSMUST00000225785.1	-5955
chr2	68957297	68961066	3770	*	4.53780404117999e-08	-0.183272440983029	0.019	0.142	0.00788212024148922	Promoter (<=1kb)	2	68959911	69051328	Cers6	91418	1	241447	ENSMUST00000141498.1	0
chr15	36394833	36397657	2825	*	4.55112808215646e-08	-0.211516486013399	0.162	0.384	0.00790526396742494	Distal Intergenic	15	36495942	36496715	Ankrd46	774	2	68839	ENSMUST00000228941.1	99058
chr9	103708095	103709930	1836	*	4.67673968193919e-08	-0.406264926226763	0.019	0.142	0.00812345006013156	Intron (ENSMUST00000189588.6/81907, intron 2 of 5)	9	103482947	103692807	Tmem108	209861	2	81907	ENSMUST00000049452.14	-15288
chr17	80632077	80632852	776	*	4.90876237014205e-08	0.571604695834408	0.232	0.057	0.00852647114931304	Intron (ENSMUST00000112389.8/225028, intron 13 of 34)	17	80580517	80624986	Map4k3	44470	2	225028	ENSMUST00000234585.1	-7091
chr2	144227197	144234191	6995	*	4.97720986837795e-08	-0.262729438840008	0.095	0.275	0.00864536376927382	Distal Intergenic	2	144251116	144252677	Snx5	1562	2	69178	ENSMUST00000125285.1	18486
chr13	28500410	28503432	3023	*	5.08093289648182e-08	-0.262367809674766	0.022	0.147	0.00882552963185996	Intron (ENSMUST00000134787.7/72518, intron 2 of 2)	13	28460941	28516781	NA	55841	2	72518	ENSMUST00000154298.1	13349
chr1	170972249	170973684	1436	*	5.53539494224401e-08	0.551503695121476	0.302	0.104	0.00961492566072841	Promoter (2-3kb)	1	170958617	170976127	Fcgr2b	17511	2	14130	ENSMUST00000027966.13	2443
chr17	88667464	88669074	1611	*	5.80028015570284e-08	0.467618482268924	0.267	0.081	0.0100750286276543	Promoter (<=1kb)	17	88668660	88715152	Gtf2a1l	46493	1	71828	ENSMUST00000024970.10	0
chr14	105892703	105900105	7403	*	6.64060840907774e-08	-0.343329366845455	0.333	0.564	0.0115346704004839	Promoter (<=1kb)	14	105891947	105896819	Spry2	4873	2	24064	ENSMUST00000022709.5	0
chr5	89881747	89884348	2602	*	6.78548056216781e-08	-0.231182028227826	0.003	0.1	0.0117863118816799	Promoter (<=1kb)	5	89677087	89882935	Adamts3	205849	2	330119	ENSMUST00000061427.9	0
chr9	121992707	121996347	3641	*	6.99632081795282e-08	-0.40289158096601	0.086	0.261	0.0121525392975759	Promoter (<=1kb)	9	121981606	121996013	Pomgnt2	14408	2	215494	ENSMUST00000217610.1	0
chr8	126209890	126210491	602	*	7.25349706651795e-08	0.559827588310837	0.225	0.052	0.012599251869571	Intron (ENSMUST00000238518.1/210027, intron 2 of 7)	8	126139382	126395971	Slc35f3	256590	1	210027	ENSMUST00000238386.1	70508
chr3	145985142	145990172	5031	*	7.35642907128262e-08	-0.283918816396888	0.083	0.256	0.0127780437325272	Promoter (<=1kb)	3	145987870	146021720	Syde2	33851	1	214804	ENSMUST00000039517.10	0
chr2	127503775	127508989	5215	*	7.37453040995918e-08	0.406096517074401	0.406	0.204	0.012809485576795	Intron (ENSMUST00000028850.14/56461, intron 2 of 8)	2	127456498	127521370	Kcnip3	64873	2	56461	ENSMUST00000028850.14	12381
chr11	88593826	88596690	2865	*	7.6015908823816e-08	-0.290570467071772	0.098	0.284	0.013203887346788	Intron (ENSMUST00000107909.7/76626, intron 5 of 13)	11	88365515	88590147	Msi2	224633	2	76626	ENSMUST00000148013.7	-3679
chr15	25410975	25415281	4307	*	8.26969909748187e-08	-0.24655919055069	0.143	0.346	0.014364384635335	Promoter (<=1kb)	15	25415022	25458827	NA	43806	1	432939	ENSMUST00000227204.1	0
chr13	12339604	12341989	2386	*	8.43044102262286e-08	-0.265760972982861	0.219	0.45	0.0146435917518857	Promoter (<=1kb)	13	12269426	12340760	Actn2	71335	2	11472	ENSMUST00000064204.13	0
chr1	170981142	170985570	4429	*	9.6306294187705e-08	0.5530704324627	0.2	0.038	0.0167283069941102	Exon (ENSMUST00000194503.1/ENSMUST00000194503.1, exon 1 of 3)	1	170960769	170976547	Fcgr2b	15779	2	14130	ENSMUST00000159969.7	-4595
chr11	75559390	75562006	2617	*	1.07915997251259e-07	-0.344884760198655	0.07	0.232	0.0187449008065464	Promoter (<=1kb)	11	75560821	75567067	Slc43a2	6247	1	215113	ENSMUST00000151891.1	0
chr8	86837085	86839697	2613	*	1.10437243518679e-07	0.380229975665469	0.489	0.265	0.0191828387619511	Intron (ENSMUST00000209389.1/ENSMUST00000209389.1, intron 1 of 1)	8	86844319	86852420	N4bp1	8102	2	80750	ENSMUST00000210029.1	12723
chr2	122465534	122470073	4540	*	1.19874659388642e-07	-0.20010391297194	0.349	0.592	0.0208221084611477	Promoter (<=1kb)	2	122466935	122467526	NA	592	2	81913	ENSMUST00000121525.1	0
chr18	79297454	79298536	1083	*	1.21693626650759e-07	-0.342060511397001	0.105	0.289	0.0211380612556102	Distal Intergenic	18	78750380	79109391	Setbp1	359012	2	240427	ENSMUST00000025430.10	-188063
chr16	22468458	22470340	1883	*	1.24557535102999e-07	-0.300921198657984	0.019	0.137	0.0216355192898558	3' UTR	16	22381309	22439719	Etv5	58411	2	104156	ENSMUST00000079601.12	-28739
chr9	103758700	103762544	3845	*	1.32768116122845e-07	-0.380443336288323	0.029	0.156	0.023061689002422	Promoter (<=1kb)	9	103483778	103761837	Tmem108	278060	2	81907	ENSMUST00000189588.6	0
chr2	27186906	27189926	3021	*	1.49009122943902e-07	-0.290851330399508	0.14	0.336	0.0258827356462329	Promoter (2-3kb)	2	27189197	27192260	Sardh	3064	2	192166	ENSMUST00000142136.1	2334
chr3	146004350	146005266	917	*	1.5267097200127e-07	-0.455304284410941	0.079	0.246	0.0265187951656485	Intron (ENSMUST00000039517.10/214804, intron 3 of 6)	3	145993671	145998639	Syde2	4969	1	214804	ENSMUST00000195918.1	10679
chr5	147337253	147342719	5467	*	1.55538501527094e-07	-0.211426823356888	0.06	0.213	0.0270168821767547	Exon (ENSMUST00000049324.12/14255, exon 20 of 24)	5	147314984	147322440	Urad	7457	2	231903	ENSMUST00000100433.4	-14813
chr6	6216094	6217809	1716	*	1.63131048599506e-07	-0.321832517910064	0.048	0.194	0.0283357000106856	Promoter (<=1kb)	6	6041218	6217118	Slc25a13	175901	2	50799	ENSMUST00000015256.14	0
chr11	5252460	5257506	5047	*	1.74148351085846e-07	-0.264205194956585	0.035	0.166	0.0302493944352604	Intron (ENSMUST00000020662.14/84035, intron 1 of 8)	11	5191552	5261558	Kremen1	70007	2	84035	ENSMUST00000020662.14	4052
chr7	132286240	132287637	1398	*	1.85505171607883e-07	-0.416371322787535	0.025	0.147	0.0322220628031176	Intron (ENSMUST00000124096.7/14183, intron 2 of 6)	7	132270819	132278625	Chst15	7807	2	77590	ENSMUST00000132508.1	-7615
chr14	76413337	76416897	3561	*	1.86312647274845e-07	-0.197172050954533	0.286	0.521	0.0323623205189932	Promoter (<=1kb)	14	76414961	76507762	Tsc22d1	92802	1	21807	ENSMUST00000110888.7	0
chr12	80269116	80274695	5580	*	1.99051500984427e-07	-0.22114059969301	0.248	0.479	0.0345750466694941	Distal Intergenic	12	80167547	80260371	Actn1	92825	2	109711	ENSMUST00000021554.15	-8745
chr18	75214442	75216278	1837	*	2.04474411171566e-07	0.392372003249242	0.444	0.265	0.0355170007460899	Intron (ENSMUST00000039608.8/69190, intron 14 of 16)	18	75288655	75297317	NA	8663	2	100503117	ENSMUST00000190465.1	81039
chr1	135817367	135822194	4828	*	2.23912290930482e-07	-0.290443266799967	0.111	0.289	0.0388933410223338	Promoter (<=1kb)	1	135818598	135833342	Lad1	14745	1	16763	ENSMUST00000038760.9	0
chr18	32542533	32543956	1424	*	2.25442885235169e-07	-0.30764621586291	0.156	0.355	0.0391592037224636	Intron (ENSMUST00000174459.1/71683, intron 1 of 2)	18	32529792	32535418	Gypc	5627	2	71683	ENSMUST00000172434.2	-7115
chr2	35999954	36000785	832	*	2.25803884283494e-07	0.572026998421516	0.184	0.033	0.0392219088961586	Distal Intergenic	2	35902351	35979913	Ttll11	77563	2	74410	ENSMUST00000127742.7	-20041
chr2	78959331	78962229	2899	*	2.39401698193815e-07	-0.26407986781632	0.095	0.275	0.0415838355745675	Distal Intergenic	2	78918393	78920052	Ube2e3	1660	1	22193	ENSMUST00000153266.1	40938
chr5	124231900	124234872	2973	*	2.72466188574704e-07	-0.302450058715294	0.213	0.427	0.0473271044892374	Promoter (2-3kb)	5	124229725	124237137	NA	7413	1	75927	ENSMUST00000161697.1	2175
chr2	173854509	173855766	1258	*	2.73667946519491e-07	-0.341200176692262	0.051	0.194	0.0475358486424891	Distal Intergenic	2	173768200	173778125	Vapb	9926	1	56491	ENSMUST00000154306.1	86309
chr2	70929387	70931757	2371	*	2.8115747543348e-07	-0.308057222810406	0.07	0.227	0.04883677232532	Distal Intergenic	2	70966165	70973388	Mettl8	7224	2	228019	ENSMUST00000140293.1	41631
